,hourofyear,job_name,hour
1273,1502.0,1140,902.0
1274,1503.0,1337,903.0
1275,1504.0,1151,904.0
1276,1505.0,1532,905.0
1277,1506.0,1367,906.0
1278,1507.0,1250,907.0
1279,1508.0,1483,908.0
1280,1509.0,860,909.0
1281,1510.0,757,910.0
1282,1511.0,633,911.0
1283,1512.0,1661,912.0
1284,1513.0,822,913.0
1285,1514.0,873,914.0
1286,1515.0,593,915.0
1287,1516.0,505,916.0
1288,1517.0,454,917.0
1289,1518.0,669,918.0
1290,1519.0,1266,919.0
1291,1520.0,727,920.0
1292,1521.0,768,921.0
1293,1522.0,1237,922.0
1294,1523.0,1448,923.0
1295,1524.0,964,924.0
1296,1525.0,1181,925.0
1297,1526.0,1216,926.0
1298,1527.0,1813,927.0
1299,1528.0,1431,928.0
1300,1529.0,1333,929.0
1301,1530.0,920,930.0
1302,1531.0,942,931.0
1303,1532.0,1212,932.0
1304,1533.0,959,933.0
1305,1534.0,740,934.0
1306,1535.0,981,935.0
1307,1536.0,1770,936.0
1308,1537.0,728,937.0
1309,1538.0,743,938.0
1310,1539.0,548,939.0
1311,1540.0,843,940.0
1312,1541.0,486,941.0
1313,1542.0,999,942.0
1314,1543.0,1001,943.0
1315,1544.0,836,944.0
1316,1545.0,648,945.0
1317,1546.0,1131,946.0
1318,1547.0,1148,947.0
1319,1548.0,813,948.0
1320,1549.0,777,949.0
1321,1550.0,1272,950.0
1322,1551.0,1159,951.0
1323,1552.0,1202,952.0
1324,1553.0,1339,953.0
1325,1554.0,935,954.0
1326,1555.0,961,955.0
1327,1556.0,1181,956.0
1328,1557.0,915,957.0
1329,1558.0,657,958.0
1330,1559.0,508,959.0
1331,1560.0,1564,960.0
1332,1561.0,610,961.0
1333,1562.0,745,962.0
1334,1563.0,534,963.0
1335,1564.0,591,964.0
1336,1565.0,539,965.0
1337,1566.0,805,966.0
1338,1567.0,1270,967.0
1339,1568.0,685,968.0
1340,1569.0,852,969.0
1341,1570.0,1106,970.0
1342,1571.0,1050,971.0
1343,1572.0,809,972.0
1344,1573.0,860,973.0
1345,1574.0,1114,974.0
1346,1575.0,958,975.0
1347,1576.0,804,976.0
1348,1577.0,682,977.0
1349,1578.0,684,978.0
1350,1579.0,511,979.0
1351,1580.0,683,980.0
1352,1581.0,666,981.0
1353,1582.0,568,982.0
1354,1583.0,467,983.0
1355,1584.0,3297,984.0
1356,1585.0,4176,985.0
1357,1586.0,4025,986.0
1358,1587.0,3989,987.0
1359,1588.0,3802,988.0
1360,1589.0,3376,989.0
1361,1590.0,3185,990.0
1362,1591.0,3451,991.0
1363,1592.0,2530,992.0
1364,1593.0,2306,993.0
1365,1594.0,2219,994.0
1366,1595.0,1723,995.0
1367,1596.0,1480,996.0
1368,1597.0,1024,997.0
1369,1598.0,919,998.0
1370,1599.0,821,999.0
1371,1600.0,559,1000.0
1372,1601.0,776,1001.0
1373,1602.0,478,1002.0
1374,1603.0,368,1003.0
1375,1604.0,359,1004.0
1376,1605.0,409,1005.0
1377,1606.0,551,1006.0
1378,1607.0,617,1007.0
1379,1608.0,5544,1008.0
1380,1609.0,7868,1009.0
1381,1610.0,6595,1010.0
1382,1611.0,6364,1011.0
1383,1612.0,5701,1012.0
1384,1613.0,4649,1013.0
1385,1614.0,4719,1014.0
1386,1615.0,4138,1015.0
1387,1616.0,2767,1016.0
1388,1617.0,2164,1017.0
1389,1618.0,2072,1018.0
1390,1619.0,1821,1019.0
